,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9787005373717635,0.9798290598290598,0.9215686274509804,0.9479166666666666
1,1,0.952145796590241,0.9744744744744744,0.9032258064516129,0.91
2,2,0.9308750687947166,0.9598402018502944,0.8350515463917526,0.8939393939393939
3,3,0.9607091022185361,0.9677055103884372,0.8984771573604061,0.9025641025641026
4,4,0.9897490279250618,0.9712918660287082,0.9010416666666666,0.9127906976744186
5,5,0.95275888133031,0.9449713148343285,0.8761904761904762,0.8842105263157894
6,6,0.9448472863107009,0.9533744735037712,0.8808290155440415,0.883495145631068
7,7,0.9320332991219067,0.9710851202079273,0.8736842105263158,0.9282051282051282
8,8,0.9682685440261198,0.8991706678306417,0.9108910891089109,0.8307692307692307
9,9,0.9513269339356296,0.9545720641611052,0.8854166666666666,0.9157894736842105
